trait,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
pseu32.luxPerGram.blup,0.04346113048103176,0.19647122270250522,-0.18791655421585743,0.012096977079547344,0.03150239338929957,-0.28541092421331443,0.2337111543574026,0.23161226277555588
pseu63.luxPerGram.blup,-0.06801923123020118,0.3070971060976042,-0.15131192713733793,-0.00041099888588381345,0.07617790667364722,-0.08317306116860357,0.09640207713607493,0.028857435255189967
pseu32.Symptoms.blup,0.04840601668112654,0.17328487466059522,-0.19426491602387608,-0.03109852240165739,0.11693181402023398,-0.2336766196209884,0.3109775766422584,0.2699865186927518
pseu63.Symptoms.blup,-0.03291347216484608,0.23705671900730352,-0.13303671422555113,-0.04442539701236238,0.16375917738715537,-0.043135214662025134,0.31465480125929424,0.04607742484877467
pseu.rosetteMass.blup,-0.07451855571951035,0.365439231152208,-0.024830239118488556,-0.0201153057766586,-0.1508452712991881,-0.15448494069355906,-0.2423970366974828,-0.040927844158141616
pseu32.rosetteMass.blup,-0.042997024717234045,0.3279893834724387,-0.04404495775795536,-0.04893308578494128,-0.17912439874599023,-0.12373961276492981,-0.15912599200347613,0.023742212548548497
pseu63.rosetteMass.blup,-0.0813260419519614,0.3083628797172051,-0.007554798410662256,0.010532818606306706,-0.09087060747784012,-0.13765970713998416,-0.25745594643347197,-0.08611972092868453
slug.propLeavesRm.blup,0.048464684578267435,0.1519941824417508,0.08814933595300956,0.36158461790378416,0.19453826324741888,0.024061595025253568,0.05484454844323866,-0.14723158735911474
slug.areafc.d0d2.blup,-0.04986240582452854,0.16706900230543484,0.11486506183121882,0.4050535248162845,0.21827212040583122,0.08170751031278672,0.07613943090176484,-0.20255522382731914
slug.areafc.d0d1.blup,-0.042683850769728006,0.15982170130612294,0.12200931890646131,0.39781475465409377,0.2287896000767332,0.07382850438542327,0.08733735536402912,-0.20811116653504996
slug.areaD0.blup,-0.07105011528134304,0.012381293781109533,0.20296389697237321,-0.3057211094673505,0.18783674463033412,-0.022269721413626847,-0.009966247745361978,0.17835534135548725
slug.numLeavesD0.blup,-0.05586809181107339,-0.05359682332356361,0.2912377512184938,-0.13580742851533478,0.21597096747093897,0.017054293681750196,0.09384536788697337,0.28114770248602816
aphid.numAphids.blup,0.026611675822968982,0.013786656367409592,-0.20163518240074324,0.09583898569625193,0.12729045652467813,0.10300155129802399,0.054582662889273714,0.11600365958585418
aphid.rosetteMass.blup,-0.11591238392858541,0.15382631180748116,0.2778521310910332,-0.13188678860276032,-0.06402918185893901,-0.13886426374592278,-0.09056616381649685,0.016368799877560347
beetle.propLeavesRm.blup,0.026490636866636517,-0.09012658247486513,-0.05538566150181388,0.23208376786784382,0.10194170258057633,-0.06011742556705853,-0.05131534919997466,0.11312138517356152
beetle.leafAreaFull.blup,-0.11780058897189297,-0.0008297041516736148,0.136205681768149,-0.23227170423258015,0.23810100774005505,0.15865030259999482,0.1711237690833987,-0.017366214048645356
beetle.numLeavesFull.blup,-0.04932784787818683,-0.049177915345378825,0.33384440247864144,-0.10216148621863837,0.19557864290480478,0.046842336198640096,0.22622121304861997,-0.0171369819302484
moths.numEggsPerMoth.blup,0.08766379708899787,-0.06610512639428671,-0.09696094108231779,-0.10447888311466,-0.0588183490404727,-0.12094033473738962,0.04951173709249095,-0.14204429127110685
fungus.LesionArea.blup,-0.01785163892461365,-0.11416720070026325,-0.1338042694151511,0.021137935404571075,-0.03760507285966158,0.016792189504900877,0.043355287704896654,0.0291044892184502
trichomes.NumTrichomesResid.blup,-0.061960936566878136,0.09226528089544611,-0.26376332245340794,-0.16682462666165923,0.22259022110135188,0.3018710645903019,-0.19852528669015546,-0.17016467643249528
trichomes.NumTrichomes.blup,-0.08424717687440114,0.10151113794892488,-0.238170042894274,-0.16947187342175649,0.2120883185197871,0.32811894241114714,-0.2147951536023482,-0.15582775784362254
trichomes.FocalLeafArea.blup,-0.18190948269963894,0.07051871730174256,0.15629182094027458,-0.051350299670175265,-0.057624929224181894,0.24618854436566517,-0.13955923638399026,0.10804122807884958
SA.SA.blup,0.04424832508517849,-0.1992617342286127,-0.0018880052914704824,0.1842069143822072,-0.16829171111163876,0.1868404788073298,-0.0016512759484596689,0.12084105615825735
SA.mass.blup,-0.1405547338844864,0.22662709992075067,0.22952164687886914,-0.0049688835531290255,0.004656744838580796,-0.009019022920432692,-0.04303123221154616,0.06420244186145557
major-gsl.Pren.blup,-0.16638261270498572,-0.15765919830137637,-0.009791795536785098,0.237179456521511,0.11114710070591229,-0.05672759484642584,-0.2399620404282805,0.345529188651092
major-gsl.Buen.blup,0.26331719628251204,0.13018441054457822,0.17148241414390636,0.04886397543966556,-0.1561915586496366,0.052808903718326826,0.05816508992390239,0.02311009925058102
major-gsl.S2hBuen.blup,0.2843239967096165,0.07882061189003729,-0.008096883869578625,0.04612703284788602,-0.032184226792387804,0.1421539434307226,-0.03673750662678298,0.12990012327479697
major-gsl.8mSOo.blup,0.2427695629731425,0.04303200300292147,0.16020022289961836,-0.02646890763257416,0.17286280628652476,-0.08013569465660117,-0.21617092451849232,0.05513217534643183
