Trait,Parameter,Median,CI_2.5,CI_97.5
PC1,pve,0.8223086,0.7423854,0.8865324474999998
PC1,pge,0.58580125,0.2783588,0.9322121
PC1,rho,0.6066084,0.197971,0.9412291
PC1,pi,2.5891069999999998e-05,3.3239479000000006e-06,9.221141e-05
PC1,n_gamma,21.0,3.0,70.0
PC2,pve,0.7439157,0.6535232,0.8230164
PC2,pge,0.52286805,0.006439665550000007,0.9722801775
PC2,rho,0.5651168,0.03906254,0.9746092774999996
PC2,pi,5.570301e-05,1.930999725e-06,0.0002100837
PC2,n_gamma,44.0,1.0,158.0
PC3,pve,0.7698432,0.6930057,0.8334381
PC3,pge,0.4390164,0.0,0.9745188
PC3,rho,0.4600325,0.02494896250000001,0.9641956150000001
PC3,pi,3.601018e-05,1.664033e-06,0.0002015324
PC3,n_gamma,28.0,0.0,156.0
PC4,pve,0.616069,0.4981473,0.7283883425
PC4,pge,0.2120639,0.0,0.8125084699999995
PC4,rho,0.2899024,0.01277412875000001,0.8520517049999999
PC4,pi,2.239229e-05,1.4632866250000001e-06,0.00015243258749999996
PC4,n_gamma,18.0,0.0,115.0
PC5,pve,0.5864757,0.47217077500000004,0.69193394
PC5,pge,0.7416668500000001,0.2576845125000001,0.9899427574999999
PC5,rho,0.7076798,0.1837047,0.9887253
PC5,pi,2.864805e-05,2.900805025000002e-06,0.00019410096249999987
PC5,n_gamma,23.0,2.0,149.0
PC6,pve,0.7512559000000001,0.6513412,0.83628395
PC6,pge,0.4110333,0.013007871750000002,0.9272680624999999
PC6,rho,0.4246835,0.02912482675,0.9276293
PC6,pi,5.6836585e-05,3.993739e-06,0.0001611042
PC6,n_gamma,44.0,2.0,126.0
PC7,pve,0.5664012,0.39806123250000003,0.7185544375
PC7,pge,0.26329634999999996,0.0,0.8008014699999997
PC7,rho,0.3107118,0.0158404075,0.8524980449999995
PC7,pi,1.8042500000000002e-05,1.59798365e-06,7.114425074999994e-05
PC7,n_gamma,14.0,0.0,55.0
PC8,pve,0.4714332,0.32860907,0.6123816
PC8,pge,0.23805305,0.0,0.9004745
PC8,rho,0.32591285000000003,0.015056229250000004,0.918535445
PC8,pi,2.794708e-05,1.5364443500000002e-06,0.0001243137
PC8,n_gamma,21.0,0.0,93.0
