GO_id,GO_name,namespace,study_count,pop_count,p_uncorrected,p_fdr_bh,study_items
GO:0030275,LRR domain binding,MF,11,33,8.100979507943718e-11,6.361699207588202e-07,"AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44578,AT5G44580,AT5G44582,AT5G44585"
GO:0019904,protein domain specific binding,MF,11,36,2.366004037559066e-10,9.290114853475672e-07,"AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44578,AT5G44580,AT5G44582,AT5G44585"
GO:0002213,defense response to insect,BP,9,36,7.372691567271737e-08,0.00014474436719446237,"AT5G43580,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44585"
GO:0033612,receptor serine/threonine kinase binding,MF,12,72,6.500628038364717e-08,0.00014474436719446237,"AT2G13790,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44578,AT5G44580,AT5G44582,AT5G44585"
GO:0005102,signaling receptor binding,MF,12,87,5.529965776504336e-07,0.0008685364248577711,"AT2G13790,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44578,AT5G44580,AT5G44582,AT5G44585"
GO:0080027,response to herbivore,BP,7,24,6.812696901861169e-07,0.0008916684795052626,"AT5G23960,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44585"
GO:0009625,response to insect,BP,10,65,1.7538328429937382e-06,0.0019675499022899752,"AT5G23010,AT5G44420,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44585"
GO:1903409,reactive oxygen species biosynthetic process,BP,7,32,5.670140180008211e-06,0.00556595135420056,"AT5G44563,AT5G44565,AT5G44567,AT5G44570,AT5G44572,AT5G44574,AT5G44585"
GO:0051761,sesquiterpene metabolic process,BP,3,3,1.119854836630421e-05,0.009771355591176329,"AT5G23960,AT5G44620,AT5G44630"
GO:0051607,defense response to virus,BP,8,55,2.9251667303448472e-05,0.022971334333398086,"AT2G13540,AT5G21150,AT5G23570,AT5G42950,AT5G43470,AT5G43810,AT5G44200,AT5G44870"
