GO_id,GO_name,namespace,study_count,pop_count,p_uncorrected,p_fdr_bh,study_items
GO:0030275,LRR domain binding,MF,11,33,8.385434641785888e-11,6.585081824194458e-07,"AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44578,AT5G44580,AT5G44582,AT5G44585"
GO:0019904,protein domain specific binding,MF,11,36,2.4485852133653077e-10,9.61436984027888e-07,"AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44578,AT5G44580,AT5G44582,AT5G44585"
GO:0002213,defense response to insect,BP,9,36,7.579120919079851e-08,0.0001487970914438352,"AT5G43580,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44585"
GO:0033612,receptor serine/threonine kinase binding,MF,12,72,6.733664670467977e-08,0.0001487970914438352,"AT2G13790,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44578,AT5G44580,AT5G44582,AT5G44585"
GO:0005102,signaling receptor binding,MF,12,87,5.722406968414053e-07,0.0008987612384591112,"AT2G13790,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44578,AT5G44580,AT5G44582,AT5G44585"
GO:0080027,response to herbivore,BP,7,24,6.962416554666905e-07,0.0009112642867299868,"AT5G23960,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44585"
GO:0009625,response to insect,BP,10,65,1.805478450147558e-06,0.002025488895572682,"AT5G23010,AT5G44420,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44585"
GO:1903409,reactive oxygen species biosynthetic process,BP,7,32,5.7917755647350315e-06,0.005685351688733025,"AT5G44563,AT5G44565,AT5G44567,AT5G44570,AT5G44572,AT5G44574,AT5G44585"
GO:0051761,sesquiterpene metabolic process,BP,3,3,1.1308337472774932e-05,0.009867152685966838,"AT5G23960,AT5G44620,AT5G44630"
GO:0051607,defense response to virus,BP,8,55,2.993385037921236e-05,0.023507052702795465,"AT2G13540,AT5G21150,AT5G23570,AT5G42950,AT5G43470,AT5G43810,AT5G44200,AT5G44870"
GO:0006952,defense response,BP,39,874,6.0197547908093346e-05,0.04297557670202337,"AT2G13540,AT2G13650,AT2G13790,AT2G13810,AT5G21150,AT5G22250,AT5G22290,AT5G22540,AT5G22570,AT5G22630,AT5G22690,AT5G23570,AT5G23820,AT5G24110,AT5G24210,AT5G42950,AT5G42980,AT5G43470,AT5G43560,AT5G43570,AT5G43580,AT5G43810,AT5G44030,AT5G44070,AT5G44200,AT5G44420,AT5G44430,AT5G44510,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44585,AT5G44870,AT5G45050,AT5G45060"
