GO_id,GO_name,namespace,study_count,pop_count,p_uncorrected,p_fdr_bh,study_items
GO:0009536,plastid,CC,62,977,2.407527485625e-25,2.3112263862e-23,"AT2G13810,AT5G20870,AT5G20890,AT5G20920,AT5G20935,AT5G20950,AT5G20960,AT5G21060,AT5G21100,AT5G21160,AT5G21222,AT5G21274,AT5G21326,AT5G21430,AT5G21990,AT5G22060,AT5G22440,AT5G22580,AT5G22640,AT5G22650,AT5G22770,AT5G22780,AT5G22790,AT5G22830,AT5G22880,AT5G23040,AT5G23060,AT5G23110,AT5G23120,AT5G23140,AT5G23290,AT5G23300,AT5G23630,AT5G23740,AT5G23750,AT5G23890,AT5G23900,AT5G23920,AT5G24165,AT5G42950,AT5G42960,AT5G42980,AT5G43070,AT5G43330,AT5G43430,AT5G43470,AT5G43600,AT5G43745,AT5G43750,AT5G43780,AT5G43810,AT5G43830,AT5G43940,AT5G43960,AT5G43970,AT5G44020,AT5G44070,AT5G44130,AT5G44290,AT5G44320,AT5G44340,AT5G44780"
GO:0005515,protein binding,MF,133,6092,1.8648021030058802e-10,8.951050094428225e-09,"AT2G12646,AT2G13370,AT2G13540,AT2G13560,AT2G13570,AT2G13790,AT2G13800,AT5G20900,AT5G20910,AT5G20920,AT5G20930,AT5G20935,AT5G21010,AT5G21140,AT5G21160,AT5G21170,AT5G21274,AT5G21940,AT5G22090,AT5G22110,AT5G22220,AT5G22250,AT5G22270,AT5G22290,AT5G22310,AT5G22330,AT5G22350,AT5G22380,AT5G22570,AT5G22640,AT5G22650,AT5G22760,AT5G22770,AT5G22780,AT5G22880,AT5G22890,AT5G22950,AT5G23000,AT5G23040,AT5G23070,AT5G23080,AT5G23090,AT5G23130,AT5G23260,AT5G23280,AT5G23290,AT5G23310,AT5G23430,AT5G23570,AT5G23660,AT5G23670,AT5G23710,AT5G23720,AT5G23730,AT5G23750,AT5G23820,AT5G23860,AT5G23880,AT5G24020,AT5G24030,AT5G24050,AT5G24060,AT5G24080,AT5G24100,AT5G24110,AT5G24120,AT5G42970,AT5G42980,AT5G42990,AT5G43060,AT5G43070,AT5G43080,AT5G43170,AT5G43250,AT5G43285,AT5G43290,AT5G43330,AT5G43350,AT5G43470,AT5G43510,AT5G43513,AT5G43518,AT5G43560,AT5G43620,AT5G43630,AT5G43650,AT5G43670,AT5G43700,AT5G43810,AT5G43820,AT5G43822,AT5G43830,AT5G43900,AT5G43920,AT5G43990,AT5G44030,AT5G44100,AT5G44120,AT5G44150,AT5G44160,AT5G44180,AT5G44190,AT5G44200,AT5G44210,AT5G44260,AT5G44280,AT5G44340,AT5G44420,AT5G44550,AT5G44560,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44578,AT5G44580,AT5G44582,AT5G44585,AT5G44610,AT5G44635,AT5G44650,AT5G44700,AT5G44740,AT5G44780,AT5G44800,AT5G44920,AT5G44930,AT5G45010,AT5G45050,AT5G45060"
GO:0009507,chloroplast,CC,112,5316,6.075277279264197e-08,1.944088729364543e-06,"AT2G12280,AT2G13100,AT2G13360,AT2G13440,AT2G13600,AT2G13620,AT2G13680,AT2G13790,AT2G13800,AT2G13810,AT5G20935,AT5G20980,AT5G21060,AT5G21170,AT5G21430,AT5G21930,AT5G21950,AT5G22140,AT5G22180,AT5G22340,AT5G22400,AT5G22420,AT5G22450,AT5G22460,AT5G22500,AT5G22510,AT5G22555,AT5G22580,AT5G22620,AT5G22630,AT5G22640,AT5G22799,AT5G22800,AT5G22830,AT5G22860,AT5G23010,AT5G23020,AT5G23040,AT5G23050,AT5G23060,AT5G23070,AT5G23120,AT5G23140,AT5G23190,AT5G23240,AT5G23310,AT5G23330,AT5G23360,AT5G23370,AT5G23395,AT5G23440,AT5G23670,AT5G23750,AT5G23890,AT5G23930,AT5G23960,AT5G24000,AT5G24020,AT5G24100,AT5G24120,AT5G24165,AT5G42950,AT5G42957,AT5G42960,AT5G42980,AT5G43000,AT5G43020,AT5G43050,AT5G43260,AT5G43280,AT5G43340,AT5G43370,AT5G43390,AT5G43400,AT5G43430,AT5G43460,AT5G43600,AT5G43745,AT5G43750,AT5G43780,AT5G43790,AT5G43830,AT5G43860,AT5G43970,AT5G43990,AT5G44000,AT5G44070,AT5G44140,AT5G44316,AT5G44345,AT5G44350,AT5G44360,AT5G44380,AT5G44390,AT5G44400,AT5G44410,AT5G44440,AT5G44450,AT5G44510,AT5G44520,AT5G44540,AT5G44570,AT5G44590,AT5G44600,AT5G44630,AT5G44650,AT5G44785,AT5G44820,AT5G44860,AT5G45030,AT5G45040,AT5G45090"
GO:0005576,extracellular region,CC,78,3366,2.1475309475812545e-07,5.154074274195011e-06,"AT2G12400,AT2G12465,AT2G12475,AT2G12480,AT2G13295,AT2G13360,AT2G13510,AT2G13542,AT2G13820,AT5G20860,AT5G20870,AT5G20940,AT5G20950,AT5G21100,AT5G21105,AT5G21482,AT5G22020,AT5G22070,AT5G22410,AT5G22799,AT5G22810,AT5G22850,AT5G22860,AT5G22960,AT5G22970,AT5G22980,AT5G23030,AT5G23035,AT5G23210,AT5G23212,AT5G23400,AT5G23660,AT5G23820,AT5G23830,AT5G23840,AT5G23850,AT5G23870,AT5G23903,AT5G24010,AT5G24070,AT5G24080,AT5G24090,AT5G24150,AT5G24160,AT5G42955,AT5G43060,AT5G43064,AT5G43066,AT5G43100,AT5G43285,AT5G43401,AT5G43510,AT5G43513,AT5G43518,AT5G43525,AT5G43570,AT5G43580,AT5G43980,AT5G44020,AT5G44230,AT5G44420,AT5G44430,AT5G44530,AT5G44550,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44578,AT5G44580,AT5G44582,AT5G44585,AT5G44640,AT5G44840,AT5G44973"
GO:0005102,signaling receptor binding,MF,12,152,6.169085228446357e-07,1.1844643638617005e-05,"AT2G13790,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44578,AT5G44580,AT5G44582,AT5G44585"
GO:0005739,mitochondrion,CC,96,4814,7.743447894764043e-06,0.0001238951663162247,"AT2G12280,AT2G12405,AT2G12461,AT2G12905,AT2G12935,AT2G13275,AT2G13360,AT2G13430,AT2G13463,AT2G13540,AT2G13547,AT2G13550,AT2G13555,AT2G13560,AT2G13600,AT2G13660,AT2G13790,AT2G13800,AT2G13845,AT2G13905,AT2G13985,AT5G20950,AT5G20995,AT5G21080,AT5G21125,AT5G21222,AT5G21910,AT5G21920,AT5G22050,AT5G22130,AT5G22170,AT5G22190,AT5G22200,AT5G22210,AT5G22280,AT5G22505,AT5G22560,AT5G22590,AT5G22608,AT5G22650,AT5G22785,AT5G22800,AT5G22970,AT5G23040,AT5G23060,AT5G23140,AT5G23160,AT5G23210,AT5G23250,AT5G23300,AT5G23380,AT5G23395,AT5G23450,AT5G23460,AT5G23535,AT5G23550,AT5G23908,AT5G23920,AT5G24120,AT5G24130,AT5G24160,AT5G42965,AT5G42980,AT5G43068,AT5G43080,AT5G43140,AT5G43150,AT5G43185,AT5G43320,AT5G43380,AT5G43430,AT5G43480,AT5G43745,AT5G43780,AT5G43820,AT5G43822,AT5G43970,AT5G44005,AT5G44010,AT5G44060,AT5G44090,AT5G44140,AT5G44270,AT5G44306,AT5G44563,AT5G44565,AT5G44566,AT5G44574,AT5G44575,AT5G44578,AT5G44580,AT5G44710,AT5G44720,AT5G44780,AT5G44785,AT5G45095"
GO:0006412,translation,BP,0,953,1.0832431535137355e-05,0.0001485590610533123,
GO:0016301,kinase activity,MF,7,1905,5.669988032053749e-05,0.0006803985638464499,"AT2G13790,AT2G13800,AT5G20930,AT5G23070,AT5G23450,AT5G24080,AT5G43020"
GO:0009605,response to external stimulus,BP,39,1575,7.757951997519395e-05,0.000803330798713106,"AT2G13540,AT2G13790,AT2G13810,AT5G21100,AT5G21150,AT5G22250,AT5G22290,AT5G22540,AT5G22570,AT5G23010,AT5G23150,AT5G23570,AT5G23960,AT5G24110,AT5G42950,AT5G42980,AT5G43470,AT5G43560,AT5G43580,AT5G43810,AT5G43980,AT5G44030,AT5G44070,AT5G44200,AT5G44370,AT5G44420,AT5G44510,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44585,AT5G44870,AT5G44900,AT5G45050,AT5G45060"
GO:0009607,response to biotic stimulus,BP,38,1511,8.368029153261521e-05,0.000803330798713106,"AT2G13540,AT2G13790,AT2G13810,AT5G21100,AT5G21150,AT5G22250,AT5G22290,AT5G22540,AT5G22570,AT5G23010,AT5G23570,AT5G23960,AT5G24110,AT5G42950,AT5G42980,AT5G43470,AT5G43560,AT5G43580,AT5G43810,AT5G43980,AT5G44030,AT5G44070,AT5G44200,AT5G44370,AT5G44420,AT5G44510,AT5G44565,AT5G44567,AT5G44568,AT5G44570,AT5G44572,AT5G44574,AT5G44575,AT5G44585,AT5G44870,AT5G44900,AT5G45050,AT5G45060"
